id,station_id,name,administrative_region1,administrative_region2,country_code,longitude,latitude
1,546160,Cangzhou,Hebei,,CN,116.87,38.32
2,176010,Kolossi,Larnaka,,CY,32.93,34.67
3,70400,Dieppe,Haute-Normandie,Departement de la Seine-Maritime,FR,1.08,49.93
4,105100,Nurburg,Rheinland-Pfalz,,DE,6.95,50.33
5,176000,Paphos,Pafos,,CY,32.42,34.78
6,295240,Ubinskoye,Novosibirsk,,RU,79.68,55.31
7,719595,Inuvik,Northwest Territories,,CA,-133.72,68.35
8,35220,Credenhill,England,Herefordshire,GB,-2.81,52.08
9,719590,Inuvik,Northwest Territories,,CA,-133.72,68.35
10,719580,Watson Lake,Yukon,,CA,-128.71,60.06
11,105130,Rosrath,North Rhine-Westphalia,Regierungsbezirk Koln,DE,7.18,50.9
12,719570,Inuvik,Northwest Territories,,CA,-133.72,68.35
13,840710,Quito,Pichincha,,EC,-78.52,-0.23
14,382640,Nukus,Karakalpakstan,,UZ,59.61,42.45
15,854595,Copiapo,Atacama,Provincia de Copiapo,CL,-70.33,-27.37
16,176060,Kolossi,Larnaka,,CY,32.93,34.67
17,105140,Kruft,Rheinland-Pfalz,,DE,7.33,50.38
18,105150,Bendorf,Rheinland-Pfalz,,DE,7.58,50.42
19,70460,Sainte-Adresse,Haute-Normandie,Departement de la Seine-Maritime,FR,0.08,49.51
20,156400,Sliven,Sliven,Obshtina Sliven,BG,26.33,42.69
21,176074,Geri,Lefkosia,,CY,33.42,35.11
22,872170,La Rioja,La Rioja,,AR,-66.85,-29.41
23,35270,Great Malvern,England,Worcestershire,GB,-2.33,52.11
24,122370,Bydgoszcz,Kujawsko-Pomorskie,Bydgoszcz,PL,18.01,53.12
25,435990,Hithadhoo,South Province,,MV,73.08,-0.6
26,780730,Nassau,New Providence,,BS,-77.34,25.06
27,590580,Mengshan,Guangxi Zhuangzu Zizhiqu,,CN,110.52,24.21
28,122380,Bydgoszcz,Kujawsko-Pomorskie,Bydgoszcz,PL,18.01,53.12
29,719540,Inuvik,Northwest Territories,,CA,-133.72,68.35
30,176090,Larnaca,Larnaka,,CY,33.62,34.92
31,719530,Watson Lake,Yukon,,CA,-128.71,60.06
32,854590,Osorno,Los Lagos,Provincia de Osorno,CL,-73.13,-40.57
33,35280,Pershore,England,Worcestershire,GB,-2.08,52.11
34,105190,Sankt Augustin,North Rhine-Westphalia,,DE,7.2,50.78
35,281720,Uvat,Tjumen,,RU,68.89,59.14
36,35310,Hockley,England,City and Borough of Birmingham,GB,-1.92,52.5
37,719510,Terrace,British Columbia,,CA,-128.6,54.52
38,156350,Chirpan,Stara Zagora,Obshtina Chirpan,BG,25.33,42.2
