"station_id","longitude","latitude","elevation"
"100020","6.36700","53.80000","6.0"
"100040","6.35000","54.16700","3.0"
"100050","8.11700","54.00000","5.0"
"100060","11.15000","54.60000","4.0"
"10010","-8.66700","70.93300","9.0"
"10015","5.86700","61.38300","327.0"
"100150","7.90000","54.18300","4.0"
"100200","8.41700","55.01700","26.0"
"100220","8.95000","54.80000","17.0"
"100260","9.15000","54.51700","28.0"
"100280","8.60000","54.33300","11.0"
"100290","9.95000","52.18300","0.0"
"10030","15.50000","77.00000","12.0"
"100330","9.50000","54.83300","33.0"
"100340","9.35000","54.63300","19.0"
"100350","9.55000","54.53300","43.0"
"100370","9.51700","54.46700","25.0"
"100380","9.53300","54.31700","22.0"
"100450","10.10000","54.33300","19.0"
"100460","10.15000","54.38300","31.0"
"100465","10.13300","54.36700","32.0"
"100550","11.06700","54.53300","9.0"
"10080","15.46700","78.25000","29.0"
"100910","13.43300","54.68300","41.0"
"10100","16.13300","69.30000","14.0"
"101130","7.15000","53.71700","13.0"
"101220","7.90000","53.53300","21.0"
"101260","7.66700","53.55000","12.0"
"101270","8.16700","53.53300","11.0"
"101280","8.03300","53.58300","1.0"
"101290","8.58300","53.53300","7.0"
"101310","8.70000","53.86700","4.0"
"101360","8.66700","53.76700","32.0"
"101420","9.56700","53.98300","26.0"
"101470","10.00000","53.63300","16.0"
"101500","10.35000","54.16700","28.0"
"101560","10.70000","53.81700","13.0"
"101610","11.20000","54.00000","17.0"
"101620","11.41700","53.63300","68.0"
"101624","11.78300","53.41700","52.0"
"101630","11.78300","53.41700","44.0"
"101700","12.08300","54.18300","10.0"
"101720","12.28300","53.91700","59.0"
"101730","9.95000","52.18300","0.0"
"101770","12.61700","53.76700","50.0"
"101840","13.40000","54.10000","6.0"
"101850","9.95000","52.18300","0.0"
"101930","14.06700","53.75000","7.0"
"102000","7.23300","53.38300","5.0"
"102020","7.21700","53.36700","1.0"
"102030","7.20000","53.33300","6.0"
"102150","8.16700","53.18300","20.0"
"102180","8.23300","52.88300","56.0"
"102240","8.80000","53.05000","3.0"
"10230","18.53300","69.06700","79.0"
"102350","9.83300","53.00000","77.0"
"102380","9.93300","52.81700","77.0"
"102420","9.95000","52.18300","0.0"
"102460","10.18300","52.91700","88.0"
"102490","10.68300","53.40000","46.0"
"10250","18.91700","69.68300","10.0"
"102530","11.13300","52.96700","17.0"
"102540","9.95000","52.18300","0.0"
"10260","18.93300","69.65000","115.0"
"102610","11.73300","52.90000","23.0"
"102620","9.95000","52.18300","0.0"
"102700","12.81700","52.90000","39.0"
"102720","12.51700","53.20000","74.0"
"102740","9.95000","52.18300","0.0"
"102790","9.95000","52.18300","0.0"
"10280","19.01700","74.51700","16.0"
"102800","13.20000","53.55000","80.0"
"102810","13.31700","53.60000","69.0"
"102910","14.00000","53.03300","55.0"
"10300","11.23300","64.85000","0.0"
"103050","7.31700","52.51700","21.0"
"103060","7.38300","52.30000","49.0"
"103130","7.60000","51.96700","64.0"
"103134","7.68300","52.13300","48.0"
"103140","7.53300","52.33300","52.0"
"103150","7.70000","52.13300","48.0"
"103170","8.05000","52.25000","95.0"
"103200","8.31700","51.93300","72.0"
"103210","8.35000","52.58300","43.0"
"103250","8.75000","52.10000","98.0"
"10330","19.50000","70.25000","24.0"
"103340","9.43300","52.46700","51.0"
"103350","9.08300","52.28300","73.0"
"103380","9.70000","52.46700","55.0"
"103430","10.01700","52.60000","52.0"
"103480","10.45000","52.30000","81.0"
"103490","9.95000","52.18300","0.0"
"103590","11.40000","52.51700","48.0"
"103610","11.58300","52.11700","85.0"
"103630","9.95000","52.18300","0.0"
"103660","9.95000","52.18300","0.0"
"103680","12.46700","52.11700","188.0"
"103790","13.06700","52.38300","100.0"
"103800","9.95000","52.18300","0.0"
"103810","13.30000","52.46700","51.0"
"103820","13.31700","52.56700","37.0"
"103840","13.40000","52.46700","50.0"
"103850","13.51700","52.38300","47.0"
"103870","9.95000","52.18300","0.0"
"103930","14.11700","52.21700","112.0"
"103980","9.95000","52.18300","0.0"
"104000","6.78300","51.28300","45.0"
"104010","6.13300","51.20000","76.0"
"104020","6.21700","51.11700","89.0"
"104040","6.26700","51.73300","43.0"
"104060","6.53300","51.83300","25.0"
"104100","6.96700","51.40000","154.0"
"104160","7.61700","51.51700","148.0"
"104180","7.65000","51.25000","392.0"
"104240","7.91700","51.56700","82.0"
"104260","8.61700","51.61700","239.0"
"104270","8.48300","51.18300","835.0"
"104300","8.83300","51.78300","151.0"
"104374","6.50000","51.21700","39.0"
"104380","9.45000","51.30000","158.0"
"104390","9.28300","51.11700","181.0"
"104440","9.95000","51.55000","176.0"
"104480","9.95000","52.18300","0.0"
"104490","10.31700","51.40000","356.0"
"104520","10.60000","51.73300","607.0"
"104530","10.61700","51.80000","1153.0"
"104540","10.76700","51.85000","240.0"
"104570","9.95000","52.18300","0.0"
"10460","20.96700","69.78300","6.0"
"104600","11.30000","51.38300","166.0"
"104660","11.95000","51.51700","93.0"
"104680","12.06700","51.55000","106.0"
"104690","12.23300","51.41700","133.0"
"10470","23.03300","69.00000","307.0"
"104700","9.95000","52.18300","0.0"
"104710","12.41700","51.31700","151.0"
"104730","9.95000","52.18300","0.0"
"104740","12.65000","51.88300","106.0"
"104750","9.95000","52.18300","0.0"
"104760","13.16700","51.76700","82.0"
"104790","9.95000","52.18300","0.0"
"104800","13.10000","51.30000","152.0"
"104810","9.95000","52.18300","0.0"
"104860","13.68300","51.11700","232.0"
"104880","13.78300","51.13300","226.0"
"10490","23.36700","69.98300","3.0"
"104900","13.58300","51.65000","100.0"
"104920","14.30000","51.76700","67.0"
"104960","14.31700","51.78300","69.0"
"104990","14.95000","51.16700","238.0"
"105000","6.05000","50.96700","98.0"
"105010","6.10000","50.78300","202.0"
"105020","6.66700","50.83300","135.0"
"105060","6.86700","50.36700","488.0"
"105100","6.95000","50.33300","626.0"
"105130","7.16700","50.86700","91.0"
"105140","7.31700","50.36700","190.0"
"105150","7.58300","50.41700","96.0"
"105190","7.20000","50.73300","162.0"
"10520","23.66700","70.66700","81.0"
"105260","7.96700","50.66700","547.0"
"10530","23.68300","70.68300","70.0"
"105320","8.70000","50.58300","186.0"
"105360","9.65000","50.55000","305.0"
"105420","9.71700","50.86700","212.0"
"105440","9.95000","50.50000","921.0"
"105460","10.15000","50.63300","494.0"
"105480","10.38300","50.56700","453.0"
"105490","9.95000","52.18300","0.0"
"10550","24.00000","71.10000","14.0"
"105500","9.95000","52.18300","0.0"
"105520","10.76700","50.65000","942.0"
"105536","12.50000","50.98300","200.0"
"105540","10.96700","50.98300","323.0"
"105550","11.31700","50.98300","268.0"
"105570","11.13300","50.50000","850.0"
"105580","11.18300","50.38300","630.0"
"105590","9.95000","52.18300","0.0"
"105670","12.13300","50.88300","312.0"
"105690","12.13300","50.48300","389.0"
"105770","12.86700","50.80000","420.0"
"105780","12.95000","50.43300","1215.0"
"105820","13.75000","50.73300","882.0"
"10590","24.98300","70.06700","8.0"
"106070","6.70000","49.98300","356.0"
"106090","6.66700","49.75000","265.0"
"10610","25.11700","70.06700","34.0"
"106100","6.56700","49.95000","374.0"
"106130","7.06700","50.16700","486.0"
"106140","7.60000","49.43300","238.0"
"106150","7.05000","49.76700","479.0"
"106160","7.26700","49.95000","503.0"
"106163","7.40000","49.20000","354.0"
"106180","7.33300","49.70000","377.0"
"106190","7.30000","49.65000","426.0"
"10620","25.06700","76.50000","10.0"
"106260","7.60000","49.85000","396.0"
"106280","7.95000","49.98300","123.0"
"106320","8.15000","49.96700","232.0"
"106330","8.33300","50.05000","140.0"
"106350","8.45000","50.21700","805.0"
"106370","8.60000","50.05000","112.0"
"106390","8.66700","50.01700","135.0"
"106420","8.96700","50.16700","112.0"
"106480","9.10000","49.71700","405.0"
"106530","9.96700","49.65000","298.0"
"106550","9.96700","49.76700","259.0"
"106570","9.50000","49.75000","338.0"
"106580","10.08300","50.20000","224.0"
"106590","10.20000","49.75000","210.0"
"106600","9.95000","52.18300","0.0"
"106700","9.95000","52.18300","0.0"
"106710","10.98300","50.28300","337.0"
"106750","10.91700","49.88300","242.0"
"106770","11.63300","49.98300","498.0"
"106810","9.95000","52.18300","0.0"
"106850","11.88300","50.31700","567.0"
"106870","11.95000","49.70000","415.0"
"106880","12.18300","49.66700","438.0"
"107040","6.68300","49.28300","363.0"
"107060","7.05000","49.48300","398.0"
"107080","7.11700","49.21700","322.0"
"107100","9.95000","52.18300","0.0"
"107120","7.86700","49.50000","321.0"
